,statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation,human_q1,GPT-3.5_q1,GPT-4-0125_q1,GPT-4-0409_q1,GPT-4o_q1,GPT-5_q1,LLaMA-2-7B_q1,LLaMA-2-13B_q1,LLaMA-2-70B_q1,LLaMA-3-8B_q1,LLaMA-3-70B_q1,Flan-T5-Small_q1,Flan-T5-Base_q1,Flan-T5-Large_q1,Flan-T5-XL_q1,Flan-T5-XXL_q1,Gemma-2B_q1,Gemma-7B_q1,Gemini Pro 1.0_q1,Mistral-7B_q1,Mixtral-8x7B_q1,Mixtral-8x22B_q1,Mistral-Large_q1,OLMo-7B_q1,Falcon-7B_q1,Falcon-40B_q1,Falcon-180B_q1,Claude 3 Opus_q1,Claude 3 Sonnet_q1,Claude 3 Haiku_q1,DBRX_q1,Qwen2-0.5B_q1,Qwen2-1.5B_q1,Qwen2-7B_q1,Qwen2-57B_q1,Qwen2-72B_q1,GPT-3.5_q2,GPT-4-0125_q2,GPT-4-0409_q2,GPT-4o_q2,GPT-5_q2,LLaMA-2-7B_q2,LLaMA-2-13B_q2,LLaMA-2-70B_q2,LLaMA-3-8B_q2,LLaMA-3-70B_q2,Flan-T5-Small_q2,Flan-T5-Base_q2,Flan-T5-Large_q2,Flan-T5-XL_q2,Flan-T5-XXL_q2,Gemma-2B_q2,Gemma-7B_q2,Gemini Pro 1.0_q2,Mistral-7B_q2,Mixtral-8x7B_q2,Mixtral-8x22B_q2,Mistral-Large_q2,OLMo-7B_q2,Falcon-7B_q2,Falcon-40B_q2,Falcon-180B_q2,Claude 3 Opus_q2,Claude 3 Sonnet_q2,Claude 3 Haiku_q2,DBRX_q2,Qwen2-0.5B_q2,Qwen2-1.5B_q2,Qwen2-7B_q2,Qwen2-57B_q2,Qwen2-72B_q2
0,1 plus 1 is 2.,0,1,0,0,0,1,Mathematics and logic,category response,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5 is alot bigger than 1.,0,0,0,0,0,0,Mathematics and logic,category response,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2,A balanced diet and regular exercise is needed to remain healthy.,1,1,0,1,0,1,Health and fitness,category response,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,A ball is round.,0,1,0,0,0,0,Natural and physical sciences,Concept Net,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,A baton twirler doesn't want a broken finger.,0,1,0,1,1,0,Human activities,Concept Net,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,A battery can't provide power forever.,0,1,0,0,1,1,General reference,category response,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,A bill is not wanted.,1,0,0,1,1,1,General reference,Concept Net,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
7,A birthday would make you want to bake a cake.,1,1,0,1,1,0,Human activities,Concept Net,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
8,A birthday would make you want to buy something for a loved one.,1,1,0,1,1,0,Human activities,Concept Net,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
9,A building where christians worship is called a church.,1,1,0,0,0,0,Religion and belief systems,category response,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
