ResponseId,duration,CRT,RME,age,education,race,gender,income,political_fiscal,political_social,political_party,marital_status
Response_1,937,4,34,38,4-year college degree,White,Male,"$60,000 to $69,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_2,1003,1,32,25,Some college or vocational training,White,Female,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_3,1043,1,30,35,Post-college degree,White,Male,"$60,000 to $69,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_4,1081,3,31,37,4-year college degree,White,Male,"$10,000 to $19,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_5,1246,1,31,39,Some college or vocational training,White,Female,"$50,000 to $59,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_6,977,6,25,38,4-year college degree,White,Male,"$70,000 to $79,999",Somewhat Conservative,Strongly Conservative,Independent,Married or Domestic Partnership
Response_7,1249,0,32,34,High school diploma,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_8,1378,4,31,39,4-year college degree,White,Male,"$60,000 to $69,999",Somewhat Liberal,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_9,1408,5,29,55,2-year college degree,White,Male,"$70,000 to $79,999",Strongly Conservative,Strongly Conservative,Republican,Single Never Married
Response_10,1322,2,30,27,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_11,1644,4,28,26,4-year college degree,Asian,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_12,1616,2,27,59,4-year college degree,White,Male,"$20,000 to $29,999",Strongly Conservative,Strongly Conservative,Republican,Divorced
Response_13,1380,4,14,42,4-year college degree,Black,Male,"$50,000 to $59,999",Somewhat Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_14,1208,6,32,29,4-year college degree,Black,Male,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_15,1380,4,33,55,4-year college degree,White,Male,"$10,000 to $19,999",Moderate,Strongly Liberal,Democrat,Single Never Married
Response_16,1754,1,29,57,Some college or vocational training,White,Female,"$10,000 to $19,999",Moderate,Strongly Liberal,Independent,Widowed
Response_17,1593,5,23,43,High school diploma,White,Male,"$30,000 to $39,999",Strongly Liberal,Somewhat Conservative,Independent,Single Never Married
Response_18,1796,5,13,55,Post-college degree,Asian,Male,"$150,000 or more",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_19,1878,3,29,36,4-year college degree,Indigenous,Female,"$60,000 to $69,999",Somewhat Liberal,Somewhat Conservative,Independent,Divorced
Response_20,1762,1,24,28,2-year college degree,White,Male,"$50,000 to $59,999",Moderate,Moderate,Independent,Single Never Married
Response_21,1423,2,30,57,High school diploma,White,Male,"$20,000 to $29,999",Strongly Conservative,Strongly Conservative,Republican,Single Never Married
Response_22,2239,0,8,28,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Liberal,Moderate,Republican,Married or Domestic Partnership
Response_23,1323,3,29,32,High school diploma,White,Female,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_24,2393,5,30,61,4-year college degree,White,Male,"$100,000 to $149,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_25,2366,3,30,44,High school diploma,White,Male,"Less than $10,000",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_26,857,0,23,29,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_27,953,3,29,35,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Single Never Married
Response_28,2699,1,10,26,4-year college degree,Asian,Female,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Democrat,Single Never Married
Response_29,2985,0,13,34,4-year college degree,White,Female,"$50,000 to $59,999",Strongly Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_30,2667,4,27,33,4-year college degree,White,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_31,1109,5,29,39,Some college or vocational training,White,Male,"$40,000 to $49,999",Moderate,Moderate,Independent,Single Never Married
Response_32,1443,6,29,54,4-year college degree,Other,Male,"$70,000 to $79,999",Strongly Conservative,Somewhat Liberal,Independent,Divorced
Response_33,3195,1,23,36,High school diploma,White,Male,"Less than $10,000",Strongly Conservative,Strongly Conservative,Republican,Single Never Married
Response_34,1050,4,30,38,4-year college degree,White,Male,"$40,000 to $49,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_35,1954,5,13,42,4-year college degree,White,Female,"$80,000 to $89,999",Strongly Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_36,1184,6,20,38,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Independent,Single Never Married
Response_37,1230,0,20,45,High school diploma,White,Female,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_38,1995,3,33,33,4-year college degree,White,Male,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_39,2928,3,9,30,4-year college degree,White,Female,"$40,000 to $49,999",Somewhat Conservative,Moderate,Democrat,Married or Domestic Partnership
Response_40,4095,3,21,31,4-year college degree,White,Female,"$20,000 to $29,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_41,1248,1,28,32,2-year college degree,White,Female,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_42,1706,1,23,24,High school diploma,Black,Male,"$30,000 to $39,999",Somewhat Liberal,Moderate,Democrat,Single Never Married
Response_43,2111,1,24,38,4-year college degree,White,Female,"$80,000 to $89,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_44,1210,5,26,51,4-year college degree,White,Male,"$90,000 to $99,999",Moderate,Strongly Liberal,Democrat,Married or Domestic Partnership
